Color_Family,Variation,RGB_Hex,RGB_R,RGB_G,RGB_B,LAB_L,LAB_a,LAB_b,Brightness_Change
Red,Base,#FF0000,255,0,0,53.23,80.11,67.22,0
Red,-10%,#E50000,229,0,0,47.98,74.03,62.12,-10
Red,-20%,#CC0000,204,0,0,42.78,68.01,57.08,-20
Red,-30%,#B20000,178,0,0,37.19,61.54,51.6,-30
Red,-40%,#990000,153,0,0,31.6,55.08,45.51,-40
Red,-50%,#7F0000,127,0,0,25.52,48.05,38.05,-50
Red,+10%,#FF0000,255,0,0,53.23,80.11,67.22,10
Red,+20%,#FF0000,255,0,0,53.23,80.11,67.22,20
Red,+30%,#FF0000,255,0,0,53.23,80.11,67.22,30
Red,+40%,#FF0000,255,0,0,53.23,80.11,67.22,40
Red,+50%,#FF0000,255,0,0,53.23,80.11,67.22,50
Green,Base,#00FF00,0,255,0,87.74,-86.19,83.19,0
Green,-10%,#00E500,0,229,0,79.87,-79.65,76.88,-10
Green,-20%,#00CC00,0,204,0,72.08,-73.18,70.63,-20
Green,-30%,#00B200,0,178,0,63.7,-66.22,63.91,-30
Green,-40%,#009900,0,153,0,55.33,-59.26,57.2,-40
Green,-50%,#007F00,0,127,0,46.22,-51.69,49.89,-50
Green,+10%,#00FF00,0,255,0,87.74,-86.19,83.19,10
Green,+20%,#00FF00,0,255,0,87.74,-86.19,83.19,20
Green,+30%,#00FF00,0,255,0,87.74,-86.19,83.19,30
Green,+40%,#00FF00,0,255,0,87.74,-86.19,83.19,40
Green,+50%,#00FF00,0,255,0,87.74,-86.19,83.19,50
Blue,Base,#0000FF,0,0,255,32.3,79.19,-107.85,0
Blue,-10%,#0000E5,0,0,229,28.64,73.19,-99.67,-10
Blue,-20%,#0000CC,0,0,204,25.01,67.24,-91.57,-20
Blue,-30%,#0000B2,0,0,178,21.11,60.84,-82.86,-30
Blue,-40%,#000099,0,0,153,17.21,54.45,-74.16,-40
Blue,-50%,#00007F,0,0,127,12.97,47.5,-64.69,-50
Blue,+10%,#0000FF,0,0,255,32.3,79.19,-107.85,10
Blue,+20%,#0000FF,0,0,255,32.3,79.19,-107.85,20
Blue,+30%,#0000FF,0,0,255,32.3,79.19,-107.85,30
Blue,+40%,#0000FF,0,0,255,32.3,79.19,-107.85,40
Blue,+50%,#0000FF,0,0,255,32.3,79.19,-107.85,50
Cyan,Base,#00FFFF,0,255,255,91.12,-48.08,-14.13,0
Cyan,-10%,#00E5E5,0,229,229,82.99,-44.44,-13.06,-10
Cyan,-20%,#00CCCC,0,204,204,74.95,-40.83,-12.0,-20
Cyan,-30%,#00B2B2,0,178,178,66.29,-36.94,-10.85,-30
Cyan,-40%,#009999,0,153,153,57.65,-33.06,-9.71,-40
Cyan,-50%,#007F7F,0,127,127,48.25,-28.84,-8.47,-50
Cyan,+10%,#00FFFF,0,255,255,91.12,-48.08,-14.13,10
Cyan,+20%,#00FFFF,0,255,255,91.12,-48.08,-14.13,20
Cyan,+30%,#00FFFF,0,255,255,91.12,-48.08,-14.13,30
Cyan,+40%,#00FFFF,0,255,255,91.12,-48.08,-14.13,40
Cyan,+50%,#00FFFF,0,255,255,91.12,-48.08,-14.13,50
Magenta,Base,#FF00FF,255,0,255,60.32,98.25,-60.83,0
Magenta,-10%,#E500E5,229,0,229,54.53,90.8,-56.22,-10
Magenta,-20%,#CC00CC,204,0,204,48.8,83.42,-51.65,-20
Magenta,-30%,#B200B2,178,0,178,42.63,75.48,-46.74,-30
Magenta,-40%,#990099,153,0,153,36.47,67.55,-41.83,-40
Magenta,-50%,#7F007F,127,0,127,29.78,58.93,-36.49,-50
Magenta,+10%,#FF00FF,255,0,255,60.32,98.25,-60.83,10
Magenta,+20%,#FF00FF,255,0,255,60.32,98.25,-60.83,20
Magenta,+30%,#FF00FF,255,0,255,60.32,98.25,-60.83,30
Magenta,+40%,#FF00FF,255,0,255,60.32,98.25,-60.83,40
Magenta,+50%,#FF00FF,255,0,255,60.32,98.25,-60.83,50
Yellow,Base,#FFFF00,255,255,0,97.14,-21.56,94.49,0
Yellow,-10%,#E5E500,229,229,0,88.56,-19.93,87.32,-10
Yellow,-20%,#CCCC00,204,204,0,80.06,-18.31,80.22,-20
Yellow,-30%,#B2B200,178,178,0,70.92,-16.56,72.59,-30
Yellow,-40%,#999900,153,153,0,61.79,-14.82,64.97,-40
Yellow,-50%,#7F7F00,127,127,0,51.86,-12.93,56.67,-50
Yellow,+10%,#FFFF00,255,255,0,97.14,-21.56,94.49,10
Yellow,+20%,#FFFF00,255,255,0,97.14,-21.56,94.49,20
Yellow,+30%,#FFFF00,255,255,0,97.14,-21.56,94.49,30
Yellow,+40%,#FFFF00,255,255,0,97.14,-21.56,94.49,40
Yellow,+50%,#FFFF00,255,255,0,97.14,-21.56,94.49,50
